what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406909593755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406909808633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406909823449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912050254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912074873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912176667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912187272
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1406912193227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912201385
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1406912201448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912206324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912747906
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406912758866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406912780834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912784935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912851076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1406912883790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406912886416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406914075430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406914075932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406914077863
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406914078174
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1406914079173
